"ymod" "prat" "cte" "therm" "ctemp" "press" "stress" "displacement"
222089548967.779 0.195984955690801 9.90713673643768e-06 13.4251717408188 354.038978395984 397914.115302265 1086053220.77653 0.00125644108625853
225627271085.978 0.18976856296882 1.20237181894481e-05 10.5390466121025 241.484570957255 369427.473461256 1234052637.25407 0.00155395753300405
224812052096.24 0.156562842773274 1.29039925034158e-05 10.3750518313609 236.615554213058 290328.090870753 1375098104.02405 0.00174815703525709
216496767569.333 0.101796625182033 9.32661033933982e-06 9.72887625917792 350.479245469905 354991.714917123 1053579974.59981 0.00127402045045426
220526881539.263 0.151724906875752 1.04567334707826e-05 11.3294106535614 220.040384307504 376436.754059978 1070006498.25674 0.00133985917181338
208301945333.369 0.120231430020649 1.24130544951186e-05 11.9235287280753 244.485056521371 322390.932952985 1264236207.75291 0.0016276787360437
235124390060.082 0.171701347415801 8.72278950642794e-06 10.5401043151505 275.699853685219 392750.347731635 968042759.345542 0.00113511582086691
202238388895.057 0.245416460228153 1.37066352390684e-05 9.3242857651785 325.356777093839 306405.126769096 1296484919.40724 0.00188951524653531
225770978303.626 0.148550301862415 1.05661324271932e-05 12.4548429739661 294.336537988856 333358.054724522 1188380169.92535 0.00138563394158994
212096274667.419 0.229697559885681 1.03977345954627e-05 13.9432430104352 333.86760102585 415757.557889447 1045845111.46244 0.00129395591576299
253001654124.819 0.270223515233956 1.03372228285298e-05 12.5299927196465 329.203259821516 447638.92704621 1164883930.6587 0.0012810473902929
242161320336.163 0.280842080868315 1.0742385906633e-05 11.0784199717455 307.828759970143 384828.001488931 1149929845.14927 0.00138243350055282
221810102812.014 0.260623820507899 1.26876005693339e-05 13.9347740961239 310.276899640449 408530.280734412 1277230081.98563 0.00156132170987436
222883358458.057 0.273862229501829 8.671541120857e-06 13.9349635178223 339.830205698963 427746.859132312 887238040.030036 0.00108037407063789
256561484839.767 0.277377533845138 8.27683826675639e-06 10.5889725009911 313.270427943207 251645.782501437 1010777539.57971 0.00121257814907737
